ExhibitionId|BoothNum|NewNav|Sharp|NewSPC|Hall|Fx
353|2U15|1242,667,1279,708|rect||2H|
353|2U21|1296,626,1346,669|rect||2H|
353|2U25|1296,668,1346,708|rect||2H|
353|2U31|1346,627,1406,668|rect||2H|
353|2U35|1345,668,1406,708|rect||2H|
353|2U41|1429,627,1466,669|rect||2H|
353|2U45|1429,668,1466,709|rect||2H|
353|2U51|1466,627,1503,667|rect||2H|
353|2U55|1466,667,1504,709|rect||2H|
353|2W01|1126,726,1156,752|rect||2H|
353|2W02|1155,725,1188,751|rect||2H|
353|2W03|1187,725,1204,752|rect||2H|
353|2W05|1221,725,1280,751|rect||2H|
353|2W21|1296,725,1343,751|rect||2H|
353|2W25|1342,725,1406,751|rect||2H|
353|2W41|1429,725,1475,752|rect||2H|
353|2W45|1474,725,1503,753|rect||2H|
353|2W47|1521,728,1538,751|rect||2H|
353|2W51|1521,706,1538,728|rect||2H|
353|2W53|1521,679,1538,705|rect||2H|
353|2W57|1522,627,1538,679|rect||2H|
353|2W59|1521,587,1538,627|rect||2H|
353|2W61|1522,565,1538,586|rect||2H|
353|2W67|1521,541,1538,565|rect||2H|
353|2W71|1521,506,1538,542|rect||2H|
353|3A01|1159,149,1186,166|rect||3H|
353|3A05|1138,150,1160,166|rect||3H|
353|3A07|1089,150,1138,166|rect||3H|
353|3A09|1035,149,1089,166|rect||3H|
353|3A61|906,149,971,166|rect||3H|
353|3A63|890,149,906,166|rect||3H|
353|3A65|846,149,890,166|rect||3H|
353|3A71|793,149,826,166|rect||3H|
353|3A73|777,149,794,166|rect||3H|
353|3A75|760,149,777,166|rect||3H|
353|3A77|728,149,761,166|rect||3H|
353|3A81|712,149,728,166|rect||3H|
353|3A83|696,149,713,166|rect||3H|
353|3A85|664,149,696,166|rect||3H|
353|3A87|647,149,665,166|rect||3H|
353|3A91|615,149,647,166|rect||3H|
353|3A99|550,149,616,166|rect||3H|
353|3B01|1218,187,1278,246,1277,278,1218,278|poly||3H|
353|3B03|1186,182,1202,198|rect||3H|
353|3B05|1172,182,1186,198|rect||3H|
353|3B07|1156,182,1173,193|rect||3H|
353|3B09|1170,198,1202,214|rect||3H|
353|3B11|1124,182,1157,214|rect||3H|
353|3B13|1170,230,1202,246|rect||3H|
353|3B15|1167,246,1202,278|rect||3H|
353|3B17|1124,230,1168,250|rect||3H|
353|3B19|1123,249,1168,279|rect||3H|
353|3B21|1091,181,1108,226|rect||3H|
353|3B23|1083,225,1108,279|rect||3H|
353|3B25|1035,182,1093,226|rect||3H|
353|3B31|1034,225,1083,279|rect||3H|
353|3B61|879,182,971,279|rect||3H|
353|3B65|846,181,879,193|rect||3H|
353|3B67|846,192,880,279|rect||3H|
353|3B71|781,182,825,214|rect||3H|
353|3B73|755,182,782,214|rect||3H|
353|3B75|790,230,826,246|rect||3H|
353|3B77|755,230,790,246|rect||3H|
353|3B79|755,246,825,278|rect||3H|
353|3B81|706,182,739,214|rect||3H|
353|3B82|706,214,739,279|rect||3H|
353|3B83|685,182,706,198|rect||3H|
353|3B84|685,198,707,214|rect||3H|
353|3B85|685,214,707,279|rect||3H|
353|3B86|637,182,670,214|rect||3H|
353|3B87|653,214,669,241|rect||3H|
353|3B88|636,214,653,241|rect||3H|
353|3B89|637,241,670,279|rect||3H|
353|3B91|604,182,622,209|rect||3H|
353|3B93|604,208,621,230|rect||3H|
353|3B95|604,230,621,252|rect||3H|
353|3B97|604,251,621,279|rect||3H|
353|3B99|550,182,605,279|rect||3H|
353|3E01|1323,298,1330,300,1371,342,1325,342|poly||3H|
353|3E03|1353,344,1371,343,1404,379,1403,398,1353,398|poly||3H|
353|3E05|1298,300,1325,344|rect||3H|
353|3E07|1299,343,1354,398|rect||3H|
353|3E11|1218,300,1278,341|rect||3H|
353|3E15|1218,340,1278,397|rect||3H|
353|3E19|1180,300,1202,325|rect||3H|
353|3E21|1129,299,1181,324|rect||3H|
